石景山|城子|和平路33号院 满五唯一的已购公房 黄金楼层 |和平路33号院| | 2室1厅 | 67.57平米 | 东 西 | 简装|中楼层(共6层)  1996年建板楼  -  |城子|150万|单价22200元/平米
石景山|城子|和平路33号院 满五唯一 黄金楼层 |和平路33号院| | 2室1厅 | 67.57平米 | 东 西 | 简装|中楼层(共6层)  1996年建板楼  -  |城子|150万|单价22200元/平米
石景山|城子|房子满五唯一，黄金地段，东西通透，格局方正|城子大街132号院| | 2室1厅 | 91.7平米 | 东 西 | 精装|高楼层(共6层)  2002年建板楼  -  |城子|220万|单价23992元/平米
石景山|城子|门头沟成熟社区 新桥大街56号院 交通方便|新桥大街56号院| | 3室1厅 | 100平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |城子|270万|单价27000元/平米
石景山|城子|老宿舍 满五唯一 送装修 已购公房|三家店老宿舍17号院| | 2室1厅 | 82.28平米 | 南 北 | 其他|高楼层(共6层)  2003年建板楼  -  |城子|185万|单价22485元/平米
石景山|城子|阁外山水南北通透    精装三居|阁外山水| | 3室1厅 | 126.19平米 | 南 北 | 精装|中楼层(共6层)  2003年建板楼  -  |城子|380万|单价30114元/平米
石景山|城子|城子西街1号院精装两居室 中楼层 满五唯一|城子西街1号院| | 2室1厅 | 84.28平米 | 南 北 | 精装|中楼层(共6层)  2004年建板楼  -  |城子|210万|单价24917元/平米
石景山|城子|龙泉花园 2室1厅 212万|龙泉花园| | 2室1厅 | 87平米 | 东 西 | 精装|中楼层(共6层)  1996年建板楼  -  |城子|212万|单价24368元/平米
石景山|城子|龙泉花园 2室1厅 170万|龙泉花园| | 2室1厅 | 63.85平米 | 南 北 | 其他|高楼层(共6层)  1996年建板楼  -  |城子|170万|单价26625元/平米
石景山|城子|绿岛6+7复式，南北通透，看房方便|绿岛家园| | 4室1厅 | 143.7平米 | 南 北 | 简装|高楼层(共6层)  2006年建板楼  -  |城子|380万|单价26444元/平米
石景山|城子|小户型总价低位置好板楼首付低中心地段|矿桥东街| | 1室1厅 | 40.73平米 | 南 北 | 简装|高楼层(共6层)  1990年建板楼  -  |城子|98万|单价24061元/平米
石景山|城子|阁外山水 大平米复式 钥匙房源 送露台|阁外山水| | 4室2厅 | 200平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |城子|420万|单价21000元/平米
石景山|城子|和平路33号院中间层南北朝向二居 简单装修 满五唯一|和平路33号院| | 2室1厅 | 81.22平米 | 南 北 | 简装|中楼层(共6层)  1996年建板楼  -  |城子|149万|单价18346元/平米
石景山|城子|新桥东街 3室1厅 225万|新桥东街| | 3室1厅 | 111.32平米 | 南 北 | 简装|高楼层(共6层)  1995年建板楼  -  |城子|225万|单价20213元/平米
石景山|城子|三家店东老店 2室1厅 110万|三家店东老店| | 2室1厅 | 54.5平米 | 南 北 | 简装|低楼层(共6层)  板楼  -  |城子|110万|单价20184元/平米
石景山|城子|桥东街一居室正规一室一厅满两年|桥东街小区| | 1室1厅 | 44.66平米 | 南 | 简装|中楼层(共6层)  1992年建板楼  -  |城子|110万|单价24631元/平米
